	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau
XPA	all	0.29913184500057655	-0.018416840152447517	10	10	all	0.7335308609775184	0.017996687435235373	10	10	all	0.5554891909661036	-0.011424298049149281	10	10	all	0.5138114411044532	-0.012698068384018124	10	10	all	0.3336266437130012	-0.11683715648879019	10.0	10.0	all	0.3710362374860141	-0.04701769518615731	10.0	10.0	all	0.25626028245914434	0.11243777830191164	10	10	all	0.2913962908324087	-0.13083452057715939	9	9	all	0.34566763291167013	-0.19268213283719582	9	9
XPC	all	0.009425453434538286	-0.08709369536185797	9	9	all	0.021836238772217548	-0.06036418816372696	9	9	all	0.001636520392180255	-0.06994954507740384	9	9	all	0.08289119808666502	0.06813747871894603	9	9	all	0.5923976354119918	0.03944684163419671	9.0	9.0	all	0.05776157891720826	0.058037910508892766	9.0	9.0	all	0.5894978278349652	-0.049950234051055	9	9	all	0.41858301687693056	-0.12289789721786361	9	9	all	0.31737317620578076	-0.0666772734174943	9	9
XPO4	all	0.9164912026784175	-0.01215231651799481	10	10	all	0.7601192847420587	0.010727729602234268	10	10	all	0.7244902055741393	-0.005702444015511982	10	10	all	0.2894170948872449	-0.022360025341426584	10	10	all	0.9660143147357706	-0.03303073555533207	10.0	10.0	all	0.5138918639722427	-0.04535703947140654	10.0	10.0	all	0.3593372074757243	-0.05682380974863472	9	9	all	0.7914457964653012	-0.16667512099372384	10	10	all	0.6374258978117011	-0.08988555073201898	9	9
XRCC1	all	0.44796262288484356	-0.00863467032632293	10	10	all	0.3073004115231356	-0.027027626898474752	10	10	all	0.21949365342239113	-0.022261793866556367	10	10	all	0.22812701168174498	-0.10047580265961781	10	10	all	0.3225975438360861	-0.04809510354219565	10.0	10.0	all	0.14659432686579382	-0.035060843296315584	10.0	10.0	all	0.16987575606880678	-0.26937204568927875	10	10	all	0.11341499676790709	-0.1500641068682819	10	10	all	0.044743435294628715	-0.10466242204284511	10	10
XRCC2	all	0.4857621137081263	0.009225267733314462	9	9	all	0.7374242624899006	0.013345943571324783	9	9	all	0.6405115463301136	0.004596155075457605	9	9	all	0.2043780577460763	0.03908078155741772	9	9	all	0.7363016384194682	-0.017730364706885337	9.0	9.0	all	0.34879234061689524	0.007156463021334404	9.0	9.0	all	0.12693144355489308	0.10753096801313196	9	9	all	0.7958344970700879	-0.07720667577150299	9	9	all	0.2600444621080308	-0.0741458193020723	9	9
XRCC3	ENST00000553264.1	0.4515081000982418	-0.033029769461664964	10	10	ENST00000554913.1,ENST00000352127.7,ENST00000555055.1,ENST00000445556.1	0.24679038459376368	-0.04844412720975483	10	10	ENST00000554913.1,ENST00000352127.7,ENST00000555055.1,ENST00000445556.1	0.4990496705299893	-0.01156222189435104	10	10	ENST00000554913.1,ENST00000352127.7,ENST00000555055.1,ENST00000445556.1	0.636180348365886	0.03946099531051176	10	10	ENST00000554913.1,ENST00000352127.7,ENST00000555055.1,ENST00000445556.1	0.1886147947637885	-0.11067581567317936	9.0	9.0	ENST00000554913.1,ENST00000352127.7,ENST00000555055.1,ENST00000445556.1	0.35140380795449633	-0.030928616073790105	9.0	9.0	ENST00000553264.1	0.6432860883507225	0.1054106726530033	10	10	ENST00000554913.1,ENST00000352127.7,ENST00000555055.1,ENST00000445556.1	0.02128584727652895	-0.3755643857361979	10	10	ENST00000554913.1,ENST00000352127.7,ENST00000555055.1,ENST00000445556.1	0.09025167459927884	-0.19680666038705322	10	10
XRCC4	all	0.5133906486312331	-0.018602994822000132	10	10	all	0.46480130834477107	0.010548780148582087	10	10	all	0.9472098994819568	0.009218718690376076	10	10	all	0.09260581712878865	0.05315822686596661	10	10	all	0.28895708579655255	0.13723599287275248	10.0	10.0	all	0.06222161650094494	0.10265914072752987	10.0	10.0	all	0.1585295975754536	0.25902261543700195	10	10	all	0.10592633605898577	0.4342033699381611	10	10	all	0.04728647379899387	0.2935372031050132	10	10
XRCC5	ENST00000392132.2	6.23653911590753e-06	-0.2750802736152983	10	10	ENST00000392132.2	0.00504216819452057	-0.282108712518529	10	10	ENST00000392132.2	9.838105217515954e-05	-0.27859449306691364	10	10	ENST00000392132.2	0.29632748491078376	0.16926423457354234	8	8	ENST00000392132.2	0.0009699301881152641	0.1612662623937139	9.0	9.0	ENST00000392132.2	0.0021814959394448287	0.1138791518444557	8.0	8.0	ENST00000392132.2	0.008555344230641453	-1.1021714216654377	10	10	ENST00000392133.3	0.2956427082189109	0.2715344292581936	10	10	ENST00000392132.2	0.12583387678030325	-0.9172544986025487	10	10
XRCC6	ENST00000360079.3,ENST00000359308.4	4.529108460455436e-05	-0.37144322027208077	10	10	ENST00000360079.3,ENST00000359308.4	0.013019911809115627	-0.4817070251890123	10	10	ENST00000360079.3,ENST00000359308.4	0.00038695231508277257	-0.42657512273054654	10	10	ENST00000360079.3,ENST00000359308.4	0.32529050831827067	-0.08075523317180251	7	7	ENST00000360079.3,ENST00000359308.4	0.23340738082872048	-0.09454473284911698	7.0	7.0	ENST00000360079.3,ENST00000359308.4	0.16459928717488748	-0.10195381209700805	7.0	7.0	ENST00000360079.3,ENST00000359308.4	0.0006350694235500638	-1.8827587209254864	10	10	ENST00000360079.3,ENST00000359308.4	0.004132399624071967	-1.7975746073105878	10	10	ENST00000360079.3,ENST00000359308.4	0.0011864841809485255	-1.8401666641180372	10	10
XRN1	all	0.6785702628982749	0.002370834094071997	9	9	all	0.4269103176197534	0.02091295363991034	9	9	all	0.3000181711195111	0.01216058265560195	9	9	all	0.14610939705809323	-0.01302613498518756	9	9	all	0.18932165071426899	-0.08979165632459103	9.0	9.0	all	0.10064280269647344	-0.03779123948194913	9.0	9.0	all	0.21499492487124716	-0.018574260825688433	9	9	all	0.3028402919385207	-0.23413796694018194	9	9	all	0.22878565707784448	-0.09114052150130132	9	9
YBX3	all	0.3288713327988163	-0.010887705453725595	9	9	ENST00000228251.4	0.09905315345795236	-0.05408795277449133	1	1	ENST00000228251.4	0.17631698544574803	-0.02033628592726279	1	1	all	0.16968995554623512	-0.04283276200002543	9	9	ENST00000228251.4	0.20874193724619217	0.06651930388319105	1.0	1.0	all	0.14329142051865346	-0.02542405255949651	9.0	9.0	all	0.07217915927450654	-0.23769293582240528	9	9	all	0.6301772396002635	-0.06311870015314114	9	9	all	0.10144523375504745	-0.0652725770527706	9	9
YLPM1	all	0.0969038126333734	-0.026236730991147733	8	8	all	0.05097775321135678	-0.0535103255929616	8	8	all	0.013632542785568769	-0.03628259954991172	8	8	all	0.681138381399149	-0.018115452035282184	8	8	all	0.11713437660927424	-0.06281709375119167	8.0	8.0	all	0.18843984962919558	-0.03539703624698346	8.0	8.0	all	0.4576678933338618	-0.11660061324203787	8	8	all	0.0065978652238021665	-0.4103689613529464	8	8	all	0.0319705922532349	-0.31643966129939444	8	8
YWHAE	all	0.6734037602382485	-0.007490323584227773	9	9	all	0.12318076217133622	-0.030630422930906186	9	9	all	0.45962519462028517	-0.006052560277980657	8	8	all	0.13927987363027383	-0.044314271837827546	9	9	all	0.3053815297206304	0.08833762581647021	9.0	9.0	all	0.7015606680934781	-0.009904668952429883	9.0	9.0	all	0.14270774878253611	-0.060106586004095235	8	8	all	0.9395495171272547	0.10923754821551117	10	10	all	0.6751772645172638	-0.01623557812320997	8	8
YWHAH	all	0.8283606456001557	0.009212409377392516	10	10	all	0.576988589181656	0.008782761635413196	10	10	all	0.8899488449446135	0.006324341314794499	10	10	all	0.9573454001532812	0.02298067300110428	10	10	all	0.7786101538859258	0.011409865857427698	10.0	10.0	all	0.909183812685292	0.028940848214392342	10.0	10.0	all	0.913748988948291	-0.0919044438371211	10	10	all	0.5162267792119031	0.09462842841442688	10	10	all	0.732084099098969	0.07757886773770223	10	10
YWHAQ	ENST00000238081.3	0.2896932811076852	-0.0365492409780914	10	10	ENST00000381844.4	0.17819094811084146	0.032427862248892096	10	10	ENST00000381844.4	0.09500919772199246	0.021364050340194368	10	10	ENST00000381844.4	0.4157790560360809	0.07882228782185373	10	10	ENST00000381844.4	0.021133535267604146	-0.11367374728343628	10.0	10.0	ENST00000381844.4	0.32110371956657957	-0.000597093592608948	10.0	10.0	ENST00000238081.3	0.20541173218580944	-0.04924305578740706	10	10	ENST00000381844.4	0.12112389019628524	-0.307093102862599	10	10	ENST00000381844.4	0.5735621216446196	0.0996436660921342	10	10
YWHAZ	ENST00000395958.2	0.24892676245025225	0.012482758676218578	3	3	ENST00000395956.3,ENST00000419477.2	0.10436380733423818	0.01782939527840626	10	10	ENST00000395956.3,ENST00000395953.2	0.0782448709097821	-0.0076573910528871	5	5	ENST00000395956.3,ENST00000419477.2	0.022959534203077572	-0.13668406403561514	10	10	ENST00000395958.2	0.03678025020753998	0.07055302572927225	3.0	3.0	ENST00000395956.3,ENST00000419477.2	0.08344580946628885	-0.11927138625488042	10.0	10.0	ENST00000395956.3,ENST00000419477.2	0.01987566794142455	-0.3000951388815101	10	10	ENST00000353245.3	0.120244339500272	-0.20019380407520465	2	2	ENST00000353245.3	0.0903713644069486	-0.14717154146806033	2	2
ZBTB16	ENST00000335953.4	0.7656972519893408	-0.010216324930547634	10	10	ENST00000392996.2	0.15511619721144332	0.045101131709259334	10	10	ENST00000392996.2	0.16224345885755787	0.007041600609899818	10	10	ENST00000335953.4	0.0634348638458505	-0.10906548909808715	10	10	ENST00000335953.4	0.6176005200884706	-0.043843383104250955	9.0	9.0	ENST00000335953.4	0.07756684287811225	-0.06878139867311653	9.0	9.0	ENST00000335953.4	0.09349793454440833	-0.3284955567905588	10	10	ENST00000392996.2	0.2721227935438755	0.08772472604304249	9	9	ENST00000335953.4	0.05185926077334261	-0.1951306343690377	10	10
ZBTB17	all	0.15737363696775086	-0.05645217324246132	10	10	all	0.002590111128500227	-0.06205555914712851	10	10	all	0.008826513799016507	-0.05653576611758763	10	10	all	0.6943073217561854	-0.047998242255572456	10	10	all	0.9333566197465826	-0.0049098574152513785	10.0	10.0	all	0.8542412219396305	-0.02238930767376754	10.0	10.0	all	0.806538213413469	-0.3661992722624796	10	10	all	0.06387939524056566	-0.18166854195813217	10	10	all	0.10661155398635114	-0.2791670711941467	10	10
ZC2HC1C	all	0.764794838081276	2.152945807755204e-05	10	10	all	0.6022954886279023	-0.019877062350636934	10	10	all	0.8768049297734689	-0.009131128343561988	10	10	all	0.2394845755842362	-0.04511119334363229	10	10	all	0.9828444782654724	0.04563750611385839	10.0	10.0	all	0.45009847222007016	-0.006134618939479833	10.0	10.0	all	0.40056928959999927	-0.13561698081583692	10	10	all	0.7841132286218464	0.11045426523155455	10	10	all	0.38950645794282157	-0.02439979625713813	10	10
ZC3H12B	all	0.9005565838914806	0.0051653927888798854	10	10	all	0.3794599775401135	-0.014383640170304175	10	10	all	0.6328285195238321	-0.010887104735387404	10	10	all	0.36868146119859646	0.056563584571833865	10	10	all	0.4745033749161729	0.08944698353917598	10.0	10.0	all	0.13410874412659055	0.06828747605371854	10.0	10.0	all	0.3990090471705846	0.183091366872462	10	10	all	0.5845612125461794	0.0893652209348811	10	10	all	0.2865664703919002	0.12793861482669425	10	10
ZCCHC3	all	0.5662746190787811	0.017227691313132603	10	10	all	0.4571263965716572	0.038472821977186836	10	10	all	0.29105661138636174	0.015269784316641397	10	10	all	0.17105478439540556	0.024388278384918544	10	10	all	0.40910310124879123	0.041511434271843645	10.0	10.0	all	0.15454784673390393	0.03109163252579426	10.0	10.0	all	0.13799383060982615	0.10025640926839359	10	10	all	0.11941819243421252	0.23196310197582196	10	10	all	0.04846531406242443	0.08711569889855368	10	10
ZEB1	ENST00000446923.2	0.3347743203684367	-0.04474172392008805	8	8	ENST00000446923.2	0.23680955459792807	-0.019113955062812566	9	9	ENST00000446923.2	0.3319812756674958	-0.03371058631311583	8	8	ENST00000446923.2	0.7766463888485456	-0.14498516546685988	8	8	ENST00000320985.10,ENST00000361642.5,ENST00000560721.2,ENST00000542815.3	0.2925939507751474	0.05271128038145421	10.0	10.0	ENST00000320985.10,ENST00000361642.5,ENST00000560721.2,ENST00000542815.3	0.3234517543257627	0.014466357372204586	10.0	10.0	ENST00000446923.2	0.6093432933476791	-0.44594121490992883	9	9	ENST00000320985.10,ENST00000361642.5,ENST00000560721.2,ENST00000542815.3	0.13247506451209876	0.1549288876508499	10	10	ENST00000320985.10,ENST00000361642.5,ENST00000560721.2,ENST00000542815.3	0.25007533751116895	0.057430668793738114	10	10
ZEB2	ENST00000409487.3	0.038336053631952235	0.036578224110946106	9	9	ENST00000303660.4	0.6964266958119478	-0.003278099562690573	6	6	ENST00000409487.3	0.16552206264983393	0.013766514311058941	9	9	ENST00000409487.3	0.16761259629154435	-0.05548164737090198	10	10	ENST00000303660.4	0.34192783936293547	-0.03565316156746933	6.0	6.0	ENST00000409487.3	0.11485289009483983	-0.07183859577199343	9.0	9.0	ENST00000303660.4	0.4372366994948228	-0.09469268210663191	6	6	ENST00000303660.4	0.25467201676799855	-0.10691018378773558	6	6	ENST00000303660.4	0.224560483501401	-0.1562653288658639	6	6
ZFHX3	all	0.2877226196382374	-0.005638355835987676	10	10	all	0.9723079114502506	-0.015137572980111957	10	10	all	0.36036894676826425	-0.007539346060354245	10	10	all	0.869714626640181	0.062039818430032694	10	10	all	0.1738183693261499	-0.09288843730661882	9.0	9.0	all	0.4720420943557142	-0.029060761870684324	9.0	9.0	all	0.6052493453470913	0.15841798991080006	10	10	all	0.12007926507448125	-0.2197499768231487	10	10	all	0.6589816849598079	-0.05707227635548159	10	10
ZFP64	all	0.7649178279599282	-0.013276887217448406	7	7	all	0.4795347001946698	0.00847459852437222	7	7	all	0.49243539513110557	0.003041548292624188	7	7	all	0.01339486825564833	0.13192282388326773	7	7	all	0.004240216597476996	0.10411626531489321	7.0	7.0	all	0.00023423219097536198	0.09008362453216791	7.0	7.0	all	0.004799824668666431	0.3245638906576229	7	7	all	0.002468364898461787	0.35090981461104015	7	7	all	0.000175261026666473	0.28056112805711003	7	7
ZFPM2	all	0.4843687490048989	0.01048045692506471	10	10	all	0.4769357789457106	-0.012785801219114388	10	10	all	0.2560009289944747	-0.006408583208232759	10	10	all	0.7915826432080569	-0.07085289845995386	10	10	all	0.9200688961682756	-0.01204504171829348	10.0	10.0	all	0.7901168415877828	-0.021809390567498716	10.0	10.0	all	0.9849246820927696	0.05115227782337358	9	9	all	0.6126912938890094	-0.139024695973025	10	10	all	0.536523506585773	-0.03279828466391182	9	9
ZFYVE19	ENST00000355341.4	0.024546838002298444	-0.10797228218404885	10	10	ENST00000355341.4	0.34116305080181053	-0.004681664774604248	10	10	ENST00000355341.4	0.14775092877035614	-0.04744757059027549	10	10	ENST00000299173.10	0.10303701735375573	-0.07702080489789594	10	10	ENST00000355341.4	0.09873387722229472	-0.18942720864155502	9.0	9.0	ENST00000299173.10	0.26465081953729275	-0.08208460016080799	10.0	10.0	ENST00000299173.10	0.22017432525445568	-0.22499073892181307	10	10	ENST00000355341.4	0.03891883350366468	-0.8649750862071383	10	10	ENST00000355341.4	0.040080305828332004	-0.6499005290650355	10	10
ZFYVE26	all	0.14754586406229117	0.0419330006633978	10	10	all	0.14769317399776025	0.011716113190546542	10	10	all	0.05585216750847526	0.028322082147928557	10	10	all	0.3653144829988776	-0.009500729712091968	10	10	all	0.1603007733193278	-0.037507400770985556	10.0	10.0	all	0.17268906846332321	-0.01668606189375987	10.0	10.0	all	0.8392844497368248	0.14055421364708112	9	9	all	0.5796600867529966	-0.11230251413140264	10	10	all	0.9010821275238808	-0.03999103794325278	9	9
ZFYVE9	ENST00000371591.1	0.10183011917848253	0.024130055365140513	9	9	ENST00000287727.3	0.08395276641726386	0.013063975974823666	10	10	ENST00000287727.3	0.2946952414695859	0.019836376509357115	10	10	ENST00000287727.3	0.18378072500919795	0.09662231560685047	10	10	ENST00000371591.1	0.31277082847464155	0.06627263658517817	9.0	9.0	ENST00000287727.3	0.6318774462182586	0.04740273940505199	10.0	10.0	ENST00000287727.3	0.17858416542995204	0.23825212307085797	10	10	ENST00000371591.1	0.4758425372477707	0.18016629967640788	9	9	ENST00000287727.3	0.2836657587602849	0.06176351465986062	10	10
ZIC2	all	0.003415340956804716	-0.05268111334675054	10	10	all	0.2685083527349714	-0.04122792078180016	10	10	all	0.0034382435270093187	-0.041505353247132615	10	10	all	0.48364210584553224	0.043546608191185075	10	10	all	0.018307098730780864	-0.13145098077543377	10.0	10.0	all	0.32423691298360136	-0.04360728970319816	10.0	10.0	all	0.6200624838590727	-0.15980072272449541	10	10	all	0.0010035181772180529	-0.38867082902689515	10	10	all	0.01846038606455398	-0.3212774086478119	10	10
ZMAT3	all	0.7447262144696531	-0.0006231223427844221	10	10	all	0.29658576928777625	-0.030074151136918182	10	10	all	0.5142738185998008	-0.013370968837647308	10	10	all	0.3590533219041324	0.008965497795527131	10	10	all	0.8422394872836477	0.016701534442116972	9.0	9.0	all	0.8027040056949919	-0.011361625988771976	9.0	9.0	all	0.26452372895704146	0.02470987241085797	10	10	all	0.5172537344636087	-0.22270017829386393	10	10	all	0.7940226470246275	-0.059184040469930956	10	10
ZMYM2	all	0.11365189324130803	0.014584374617485246	8	8	all	0.21768716160650325	-0.028929330897702495	8	8	ENST00000382874.2,ENST00000382871.2	0.37791272818088295	0.010321051966460383	1	1	all	0.2796381050259841	-0.007789993352803455	8	8	ENST00000382869.3,ENST00000382874.2	0.24976885744617228	-0.06349892263187126	1.0	1.0	ENST00000382869.3,ENST00000382874.2	0.23863543033269452	-0.048156778749850825	1.0	1.0	all	0.6665963407237473	0.024857273386932343	8	8	ENST00000382869.3,ENST00000382874.2	0.18805349628611556	-0.25532689232367023	1	1	ENST00000382869.3,ENST00000382874.2	0.2257853718047652	-0.14538646454666096	1	1
ZMYM3	ENST00000373988.1	0.07940365420196441	0.04243109355367244	5	5	ENST00000373988.1	0.05125249871829668	0.026441906878599788	5	5	ENST00000373988.1	0.002515757445025098	0.024681666335506086	5	5	ENST00000314425.5	2.8627317497560305e-05	-0.27332887816955903	10	10	ENST00000314425.5	0.0002936345397818223	-0.185453144332732	10.0	10.0	ENST00000314425.5	1.2550003899715573e-05	-0.2073734280275532	10.0	10.0	ENST00000314425.5	0.0001769258942574937	-0.7911516039431598	10	10	ENST00000314425.5	5.055183762461941e-05	-0.602943761698205	10	10	ENST00000314425.5	8.856165644847925e-06	-0.6180948653149113	10	10
ZMYND10	ENST00000360165.3	0.13798476461026007	0.04465139257049514	10	10	ENST00000231749.3	0.15730460051655915	-0.01684894121622271	10	10	ENST00000231749.3	0.1678295666876326	-0.026761039396344444	9	9	ENST00000231749.3	0.03876297709676385	0.09521739050655144	9	9	ENST00000360165.3	0.4181956735831587	0.06035950699830452	9.0	9.0	ENST00000231749.3	0.24648525896258866	0.01716140683028835	9.0	9.0	ENST00000231749.3	0.09593669907631908	0.3351524356553209	9	9	ENST00000231749.3	0.22661050433007635	-0.20346445452670983	9	9	ENST00000231749.3	0.5894157441869968	0.06805555726239666	8	8
ZMYND11	ENST00000381591.1	0.5261736175221171	-0.0024427727516021826	10	10	ENST00000397962.3	0.3011732513352403	0.02093064220172211	10	10	ENST00000397962.3	0.7798510219489928	0.0032848387663924777	10	10	ENST00000381591.1	0.024730798663779724	-0.11612119424936425	10	10	ENST00000381591.1	0.018804070894795688	-0.09351143325886135	10.0	10.0	ENST00000381591.1	0.002082287916360735	-0.0805828634353083	10.0	10.0	ENST00000381591.1	0.011543621070044571	-0.27964393744570154	10	10	ENST00000381591.1	0.020257893043687147	-0.07107840216017412	10	10	ENST00000381591.1	0.004006764826132543	-0.26520728633142265	10	10
ZNF217	ENST00000371471.2	0.43001343841920825	-0.00046685996608252764	10	10	ENST00000302342.3	0.538041854521774	0.03214902676887534	10	10	ENST00000302342.3	0.44746890303354014	0.01774674077275478	10	10	ENST00000302342.3	0.21878654980738999	0.10117356871539906	10	10	ENST00000302342.3	0.3756176730556132	-0.02064443442613105	10.0	10.0	ENST00000371471.2	0.6210977969035805	-0.058888838276213024	10.0	10.0	ENST00000302342.3	0.12033071718655193	0.12010371647630073	10	10	ENST00000302342.3	0.6174372197643271	0.08744751699683763	10	10	ENST00000371471.2	0.3952956009739651	-0.10057831485638152	10	10
ZNF24	all	0.6269412639389634	-0.006872753929097106	10	10	all	0.9023589296506493	-0.014486041573376554	10	10	all	0.5597511351147632	-0.0165069882922753	10	10	all	0.3947652353048513	0.05233506938384961	10	10	all	0.8954535875412285	0.04363612949103542	10.0	10.0	all	0.3684732464952347	0.015980911858184205	10.0	10.0	all	0.4039249916564649	0.12466868372282403	10	10	all	0.8339478148647614	0.10306039804935634	10	10	all	0.5561563748380707	0.033144965923035306	10	10
ZNF259	all	0.008162519539894924	-0.07557962955170737	9	9	all	0.013819451665031051	-0.07151964237283144	10	10	all	0.00946025560060731	-0.07046578864860513	9	9	all	0.27261665045792416	0.04528063300339158	9	9	all	0.5671753413881577	0.09559003512927981	10.0	10.0	all	0.4835585884845911	0.03906374575367688	9.0	9.0	all	0.9397525061236959	-0.21848588743279085	9	9	all	0.21162431892580913	-0.24734277071779853	10	10	all	0.38010811270088907	-0.2821873743685875	9	9
ZNF264	ENST00000263095.6	0.14739414474233728	-0.01220630967208462	8	8	all	0.1131063664259445	0.038040045172484334	1	1	all	0.4171880042010663	0.009258691213954619	1	1	all	0.19414634407398734	-0.0769801691286479	1	1	ENST00000536056.1	0.15315397196140743	0.07954857848400641	9.0	9.0	ENST00000263095.6	0.08046654469263405	-0.0715999550849518	7.0	7.0	all	0.1452152558263505	-0.27129404512274835	1	1	ENST00000536056.1	0.15398622453049846	0.30445152338017034	9	9	ENST00000263095.6	0.14088704978237118	-0.15776672814811818	7	7
ZNF324B	all	0.32395369704753385	0.01827584745926533	9	9	all	0.8932668912953945	-0.00757347508759887	8	8	all	0.7517903606361559	0.005715592918193588	8	8	all	0.9350724772256792	-0.008397078152376029	9	9	all	0.39167502181584646	-0.024946551207381786	9.0	9.0	all	0.35139550648968476	-0.020099684393253197	8.0	8.0	all	0.6653009500200491	0.054121240041728	8	8	all	0.47273921002772	-0.058995954143892824	9	9	all	0.5733745201438183	-0.09604508436658188	8	8
ZNF331	ENST00000513999.1	0.1217134139222358	-0.01712641756557699	3	3	ENST00000512387.1	0.04553716137387735	-0.02747445232257735	5	5	ENST00000511593.2	0.10235787677553759	0.012963377714343798	3	3	ENST00000449416.1	0.40431547985155747	0.022963479672508363	3	3	ENST00000511593.2	0.10423980819478287	-0.04952027230168261	3.0	3.0	ENST00000512387.1	0.13947523746663323	0.04401955476747452	5.0	5.0	ENST00000449416.1	0.26980999276051554	0.08983117297040268	3	3	ENST00000513999.1	0.07924401163808838	-0.18734684985201533	3	3	ENST00000513999.1	0.11797496737009704	-0.11498269744419078	3	3
ZNF384	ENST00000396801.3	0.09353722354391149	0.04832091109580365	1	1	ENST00000361959.3	0.1678516173161737	-0.028687807194263358	1	1	ENST00000396801.3	0.1006964687563235	0.03082728977342706	1	1	ENST00000361959.3	0.31949806524685853	-0.05185515583899804	1	1	all	0.06849189642987553	0.10814108146026795	8.0	8.0	all	0.0794203810975654	0.05200988687707555	8.0	8.0	ENST00000361959.3	0.18258639910455832	-0.22232308611146004	1	1	ENST00000396801.3	0.1228063826913442	-0.36585673563101345	1	1	ENST00000396801.3	0.2077452395025261	-0.15295820784960681	1	1
ZNF497	all	0.835433386924083	-0.012870058687545287	10	10	all	0.29838279520903577	0.00906370017697759	9	9	all	0.5303168578368912	0.008876661017719924	9	9	all	0.3227217990729717	-0.09883929753981224	10	10	all	0.6635550731452844	-0.051294380917122046	9.0	9.0	all	0.44241748149602456	-0.02764036018463313	9.0	9.0	all	0.45203284644080255	0.11511765727874508	9	9	all	0.9499246526971935	-0.0694806514467493	9	9	all	0.5705966170949336	-0.038806161226294766	9	9
ZNF521	all	0.4265197284733684	0.004436981147269981	9	9	all	0.17271650027443775	-0.021273376282763313	9	9	all	0.7880691847420324	-0.01761048472988318	9	9	all	0.4879998984473255	0.023867693945501107	9	9	all	0.9916244813599897	0.04794836367686076	9.0	9.0	all	0.4642774165935276	0.01804133147970806	9.0	9.0	all	0.3763093858198092	0.10583722054144647	9	9	all	0.5188107419092911	-0.051613655840158146	9	9	all	0.817821545172984	0.015866013333063315	9	9
ZNF608	all	0.1551860844910896	-0.03260254532088178	10	10	all	0.16448874456676577	-0.016071879757770493	10	10	all	0.08366423472609806	-0.03430378648821466	10	10	all	0.688172487300988	0.05259354538585708	10	10	all	0.977762526327853	0.01711693965061677	10.0	10.0	all	0.5576403115257755	-0.02612620406579673	10.0	10.0	all	0.6648374852200466	0.15055213894546712	10	10	all	0.5930468733559164	-0.28527057677922546	10	10	all	0.4866974809772253	0.09215631354231772	10	10
ZNF622	all	0.049385371409498065	-0.0923841528710249	9	9	all	0.036898282613713015	-0.0829340959391417	9	9	all	0.011145604947320273	-0.08425855894656731	9	9	all	0.8314467918873107	0.04340496820254133	7	7	all	0.8140241260716359	-0.0007927961497523339	8.0	8.0	all	0.5976742948912688	-0.010881987549568333	7.0	7.0	all	0.24461596220515325	-0.34873532019258296	9	9	all	0.11227774276487903	-0.508796039224275	9	9	all	0.1563963160242788	-0.5073352671406263	9	9
ZNF646	all	0.5673074702069556	0.017471454394379488	8	8	all	0.6523586003029753	0.008848024844295936	9	9	all	0.952954146722759	-0.006751393253362988	8	8	all	0.03754228871356428	-0.14051523062185567	8	8	all	0.0749516817036094	-0.12433932549400205	10.0	10.0	all	0.0160464659959003	-0.10616296061950105	8.0	8.0	all	0.018189624438805178	-0.3307508526797805	8	8	all	0.11726614425726145	-0.42812447122056024	10	10	all	0.016175025200223025	-0.2993301576098235	8	8
ZNF668	all	0.20891810779469655	0.020272168649476886	9	9	all	0.4854461065952549	0.013849944256324909	9	9	all	0.16834561049999863	0.018827463338512842	9	9	all	0.19935870958119062	-0.10599111366652675	9	9	all	0.5070536358793039	-0.05321445756968831	9.0	9.0	all	0.14352231332343474	-0.06757376453246332	9.0	9.0	all	0.6453520423152561	-0.09603762200287098	8	8	all	0.8653532121310863	-0.2481716115668906	9	9	all	0.9773774335041574	0.018587976576963663	8	8
ZNF830	all	0.04052259948589002	-0.09332130378570432	9	9	all	0.07848858373264153	-0.08363589485487209	9	9	all	0.010421759466806886	-0.07909181045022257	9	9	all	0.09653727468003832	0.0613041431041598	9	9	all	0.2649282348224863	-0.06989302956096727	9.0	9.0	all	0.9562455986460562	-0.02272755780761107	9.0	9.0	all	0.6794778394848987	-0.15887935412522824	9	9	all	0.1148567980576024	-0.6586745936349319	9	9	all	0.14251075111894568	-0.42085291084753146	9	9
ZW10	all	0.05696957459375293	-0.14349859555351305	10	10	all	0.004403874341433689	-0.11232721929581435	9	9	all	0.0005037456120652457	-0.1260702581326175	9	9	all	0.2899623321520717	0.017246447037876523	9	9	all	0.48592606397264093	0.008363349930337756	8.0	8.0	all	0.3327417921593452	0.018923572917725184	8.0	8.0	all	0.17337042796603352	-0.6394115758078859	10	10	all	0.062329359621706056	-0.49299084957297756	9	9	all	0.019705954537608854	-0.5394898165934303	9	9
ZWILCH	all	0.5458724043310441	-0.011038669617359317	9	9	all	0.14246154976796344	-0.03135553666143187	9	9	all	0.18549431832714436	-0.023511280394885866	9	9	all	0.6803992095129641	-0.0018552764754270386	9	9	all	0.9004954716051589	-0.03036789346025107	10.0	10.0	all	0.48725464996504064	-0.013449662897056847	9.0	9.0	all	0.6396545207245434	-0.01879216145377709	9	9	all	0.569646618497403	-0.03526773374090547	10	10	all	0.2683924135618587	-0.09832473146131993	9	9
