		gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau
		Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
		Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene	transcripts																																				
ACO2	all	0.5753810898806132	-0.012547815240288628	10	10	0.11021402332445386	-0.03454780260507687	10	10	0.11985987570681178	-0.026661828797626515	10	10	0.969660692589903	0.052797855441719034	10	10	0.904594970004525	0.03340837850076355	10	10	0.9467091572458355	0.06135495160179097	10	10	0.9080657405022161	0.12158792781383514	10	10	0.6620030787357087	0.029855882181543947	10	10	0.5962333940699804	0.17149962568224608	10	10
ACOT6	all	0.9027414636493988	0.021744951900987755	10	10	0.6882863294475103	0.026407434142929124	10	10	0.6464361122840515	0.016501211840112218	10	10	0.20219509766754884	0.033426088570836204	10	10	0.7206535211854342	-0.0554384333488612	10	10	0.31412659275891974	0.0035743282946598606	10	10	0.09652465631726019	0.30066876889287325	9	9	0.5128964662392503	0.01637876400243113	10	10	0.26365166014952723	0.1646451602383562	9	9
ACSBG1	all	0.12605338458956003	-0.032635946089906186	10	10	0.13407648926227683	-0.02926501791406122	10	10	0.03282542995992394	-0.02429089365077183	10	10	0.6104052145500893	0.012232703233308287	10	10	0.6599274385425293	0.03735673233343819	10	10	0.4884265396465334	0.053785892376632706	10	10	0.844676290503098	-0.04267855354179068	10	10	0.9740271470037273	-0.08838981179392102	10	10	0.8623449637063904	0.023796776418343917	10	10
ACSL5	ENST00000354273.4	0.38046132004243605	0.020642832536437977	9	9	0.38010203341378945	-0.027233917878856474	10	10	0.8406270632793864	0.008023623109310558	9	9	0.18263773007908934	-0.13048902961319545	9	9	0.3270700879363928	0.022571879533688957	9	9	0.09301003368689012	-0.08231388144862477	9	9	0.3497346533289698	-0.14907841792066565	9	9	0.16127880132799854	-0.3934223021415484	10	10	0.17234928876230537	-0.2545409348912497	9	9
ACSL5	ENST00000354655.4	0.1670760745127915	0.024154240759317852	9	9	0.38669905210413014	-0.01149577048677645	9	9	0.763088032800074	0.007125652644929894	9	9	0.822166966012879	-0.03360200175996133	9	9	0.9855946260577015	-0.021024994144109948	9	9	0.5534839190773422	-0.03083971383673916	9	9	0.40812859290056125	-0.058207984581077316	9	9	0.7864807409801364	-0.09284045730844274	9	9	0.5035055462779778	-0.16731661130661354	9	9
ACSL5	ENST00000393081.1	0.6519742807145905	-0.010981607927967624	6	6	0.12894775826891358	0.02385782111831108	6	6	0.5781061354911308	0.007918778096588622	6	6	0.26701437916645876	-0.0174534052206634	6	6	0.5469460160339608	0.021922937293110182	6	6	0.809048412575696	-0.011680198470595161	6	6	0.2900730922173088	-0.09163385910340115	6	6	0.2886677166660421	0.2696792916536838	6	6	0.966395003820203	-0.02713539907719072	6	6
ACSL6	ENST00000379240.1	0.7592096675944635	-0.009573904986480863	8	8	0.6049699365130343	-0.01067862313551462	8	8	0.8165399911833563	-0.008194300252938515	8	8	0.21933515341254206	-0.054780984836760145	8	8	0.8971973314066126	0.023229739475581494	8	8	0.3363304149361035	-0.032322306760779115	8	8	0.28055880843007386	-0.10872905913024077	8	8	0.6361356758687106	-0.06260889961799848	8	8	0.38672978321880325	-0.08391987533123228	8	8
ACSL6	ENST00000379244.1	0.06264923130962706	-0.02444719549061174	6	6	0.847292080169	0.004565992539464422	7	7	0.10694553783787829	-0.02886023157496576	6	6	0.3604891154036336	0.07753766272487998	7	7	0.8127975850034841	0.01233898014725817	6	6	0.44469537784644375	0.020024710113614317	6	6	0.6893403878109514	0.08183354404369522	7	7	0.7132141785293056	-0.18966456759030179	6	6	0.7286491849338035	-0.1101735088238441	6	6
ACSL6	ENST00000543479.1	0.09189040981882222	0.028426555373202822	9	9	0.3093052035761683	-0.03317090041594845	7	7	0.3616373965781702	0.0012573733837007786	7	7	0.2308564332780817	-0.03789712387885735	8	8	0.25900980044868926	0.020055603575008244	7	7	0.5443238174774773	-0.01675448572090089	7	7	0.4071774599482275	-0.012741024364975817	9	9	0.41793623694952486	-0.018902969831876042	7	7	0.900781994489572	-0.05160988918848172	7	7
ACSS1	all	0.7650956078930113	-0.006527251041697965	10	10	0.016272256284754632	-0.026926462411567004	10	10	0.050023373031406436	-0.017917073870445707	10	10	0.10920431663444513	-0.09222439003846543	10	10	0.27489014473344664	0.11533772677343553	10	10	0.909183812685292	-0.020542514332394065	10	10	0.1345379819925443	-0.26918625505765975	10	10	0.7104592212827197	-0.11219999525055979	10	10	0.6210076807150197	-0.2262375624889986	10	10
ACTA2	ENST00000224784.6	0.19089946858459095	-0.03874623316653906	10	10	0.04789539548021519	-0.04606286311412016	10	10	0.003351628182174754	-0.02577727828616992	10	10	0.4020681807862899	0.025907543272269313	10	10	0.1284266216374463	0.1658444149229343	10	10	0.1349425213204354	0.10699962434720596	10	10	0.9403244938575377	0.03219174144866802	10	10	0.44184522392684145	0.27403636841865603	10	10	0.7230215722953144	0.1813139288016924	10	10
ACTA2	ENST00000458208.1	0.38194742068927523	0.007840201422255966	10	10	0.6680723977316658	0.0006141350164254357	10	10	0.9194706706281435	0.014784574910550323	10	10	0.9264506907170307	-0.040102857127943085	10	10	0.5349951883533772	0.0519452566637728	10	10	0.837320108959322	-0.0161528618914333	10	10	0.7227407769807885	-0.05478023332869806	10	10	0.7719350689974755	0.07295683150726132	10	10	0.9253195530782877	-0.0195551589382315	10	10
